"","hashtags2","Freq"
"1","Virus",0.0109325246709683
"2","lockdown",0.00964694834525618
"3","China",0.00667392494448648
"4","Taiwan",0.00592349283091288
"5","India",0.00566514734919083
"6","Trump",0.00495572245493819
"7","WATCH",0.00492086631851537
"8","IndiaFights",0.00416838384397573
"9","StayHome",0.00386698078196667
"10","vi",0.00359428277348227
"11","Iran",0.00353482230546688
"12","pandemic",0.00352662086160269
"13","Wuhan",0.00348766400324777
"14","Cons",0.00341795173040214
"15","Vijay",0.0030324838687851
"16","Warriors",0.00290126076695802
"17","WHO",0.00283154849411239
"18","C",0.00279464199672352
"19","Lockdown",0.00264906636813411
"20","Thalapathy",0.00264701600716806
"21","CDC",0.00260805914881315
"22","CCP",0.00259780734398291
"23","NanbarAjith",0.00253219579306937
"24","Nellai",0.00253219579306937
"25","CO",0.00250964182244284
"26","BREAKING",0.00249323893471446
"27","HongKong",0.00243992954959721
"28","Nigeria",0.0023374115012948
"29","LateLateShow",0.00229435392100779
"30","Georgia",0.00224309489685659
"31","Roadmap",0.00224309489685659
"32","SARSCoV2",0.00221438984333192
"33","UK",0.00220618839946773
"34","Remdesivir",0.00220413803850168
"35","COV",0.00217133226304491
"36","ー19",0.00207906601957275
"37","SocialDistancing",0.00197859833223639
"38","c",0.00197654797127034
"39","US",0.00196834652740615
"40","Chinas",0.00192733930808519
"41","WarriorsAll",0.00189863425456052
"42","nuclear",0.00187608028393399
"43","GovKemp",0.0018596773962056
"44","Pandemic",0.00182482125978278
"45","Ramadan",0.00178996512335997
"46","COVI",0.00175920970886925
"47","NHS",0.00173870609920877
"48","1",0.00166284274346499
"49","Madagascar",0.00163208732897427
"50","stayhome",0.00155622397323049
"51","Yemen",0.00152546855873977
"52","Hongkong",0.001492662783283
"53","so",0.00147010881265647
"54","cor",0.00144960520299599
"55","BTSs",0.00144550448106389
"56","Kpop",0.00144550448106389
"57","N95",0.00144550448106389
"58","v",0.00142705123236946
"59","Tcot",0.00140244690077688
"60","USA",0.0013778425691843
"61","TweetforTaiwans",0.00137579220821826
"62","Poorvikamobiles",0.00137169148628616
"63","ClimateAction",0.00136964112532011
"64","Lockdowndiaries",0.00136759076435406
"65","EhsaasEmergencyCash",0.00136554040338802
"66","Lockdowngam",0.00135938932048987
"67","s",0.00131838210116891
"68","StayAtHome",0.00131018065730472
"69","viru",0.0012753245208819
"70","AME",0.00126302235508561
"71","Kano",0.00125482091122142
"72","BillGates",0.00124866982832328
"73","Irans",0.00121381369190046
"74","chilblainsis",0.00118510863837579
"75","CovidToepainful",0.00118510863837579
"76","AmericaStrong",0.0011687057506474
"77","Somalia",0.00110514456069991
"78","FakeNews",0.00109899347780177
"79","CO2",0.00107643950717524
"80","inSA",0.00107233878524314
"81","dogs",0.00106823806331105
"82","PPE",0.001066187702345
"83","Punjab",0.00104978481461661
"84","shutdown",0.00103133156592218
"85","staysafe",0.000988273985635171
"86","vaccine",0.000978022180804931
"87","Canada",0.00096777037597469
"88","health",0.00096777037597469
"89","animals",0.000949317127280258
"90","Spain",0.000928813517619777
"91","StayHomeSaveLives",0.000926763156653729
"92","StaySafe",0.000918561712789537
"93","Krishnagiri",0.000916511351823488
"94","MayDay",0.000912410629891392
"95","coron",0.000908309907959296
"96","PRC",0.000906259546993248
"97","antiELAB",0.00089395738119696
"98","Chi",0.00089395738119696
"99","Foxandfriends",0.000889856659264864
"100","NIH",0.000889856659264864
"101","Pakistan",0.000887806298298816
"102","healthcare",0.000871403410570431
"103","Turkey",0.000865252327672287
"104","Italy",0.000848849439943902
"105","UAE",0.000848849439943902
"106","locust",0.000842698357045758
"107","NOW",0.00084064799607971
"108","BuhariDoppelgänger",0.000836547274147614
"109","Master",0.000834496913181566
"110","boris",0.000828345830283421
"111","S",0.000828345830283421
"112","co",0.000826295469317373
"113","socialdistancing",0.000822194747385277
"114","wilfred",0.000813993303521085
"115","adopt",0.000811942942555037
"116","Coron",0.000805791859656893
"117","Michigan",0.000801691137724796
"118","plandemic",0.000795540054826652
"119","InternationalWorkersDay",0.000793489693860604
"120","lockdownindia",0.000791439332894556
"121","2019",0.000789388971928508
"122","MayDay2020",0.00078733861096246
"123","Beijing",0.000783237889030364
"124","CRPatil",0.000783237889030364
"125","covi",0.000775036445166172
"126","Covid",0.000770935723234075
"127","Africa",0.000768885362268027
"128","Ccot",0.000754532835505691
"129","mentalhealth",0.000752482474539643
"130","Russia",0.000750432113573595
"131","PoorvikaMobiles",0.000748381752607547
"132","covid",0.000738129947777306
"133","vir",0.000738129947777306
"134","LabourDay",0.000721727060048922
"135","California",0.000715575977150777
"136","PMs",0.000715575977150777
"137","SaturdayThoughts",0.000711475255218681
"138","Chinese",0.000701223450388441
"139","KAG",0.000701223450388441
"140","ToryLiars",0.000701223450388441
"141","T",0.000699173089422393
"142","Fauci",0.000697122728456345
"143","SaturdayMotivation",0.00068071984072796
"144","AI",0.000678669479761912
"145","quarantine",0.000676619118795864
"146","WorldPressFreedomDay",0.00067046803589772
"147","Odisha",0.000664316952999576
"148","Quarantine",0.000660216231067479
"149","ClimateChange",0.000658165870101431
"150","Mad",0.000658165870101431
"151","Brazil",0.000656115509135383
"152","FluShot",0.000645863704305143
"153","Outbreak",0.000639712621406999
"154","Salvini",0.000633561538508855
"155","destroying",0.000629460816576758
"156","IndianArmy",0.000625360094644662
"157","SaudiArabia",0.000625360094644662
"158","Cor",0.000619209011746518
"159","Germany",0.00061715865078047
"160","Florence",0.000613057928848374
"161","TheNewItaly",0.000613057928848374
"162","remdesivir",0.000608957206916278
"163","BSF",0.00060690684595023
"164","Sta",0.00060690684595023
"165","coro",0.000604856484984181
"166","Chennai",0.000600755763052085
"167","JammuAndKashmir",0.000600755763052085
"168","Stayho",0.000600755763052085
"169","Jalandhar",0.000598705402086037
"170","IOTS",0.000596655041119989
"171","Ireland",0.000596655041119989
"172","Australia",0.000592554319187893
"173","Uyghur",0.000592554319187893
"174","QAnon",0.000582302514357653
"175","Ontario",0.000578201792425557
"176","NYC",0.000570000348561364
"177","EU",0.000567949987595316
"178","PressFreedom",0.000567949987595316
"179","VirusUpdates",0.000565899626629268
"180","auspol",0.000561798904697172
"181","WhatWouldReaganSay",0.000561798904697172
"182","WalkingBrainDead",0.000559748543731124
"183","TaiwanModel",0.000555647821799028
"184","Maharashtra",0.000543345656002739
"185","bharathanenenu",0.000541295295036691
"186","Japan",0.000541295295036691
"187","SarileruNeekevvaru",0.000541295295036691
"188","Biden",0.000539244934070643
"189","AmericansHome",0.000537194573104595
"190","HealthWorkers",0.000537194573104595
"191","Bangladesh",0.000535144212138547
"192","Brexit",0.000531043490206451
"193","AarogyaSetu",0.000528993129240403
"194","Communist",0.000524892407308307
"195","economy",0.000518741324410162
"196","Co",0.000516690963444114
"197","StrategicPartners",0.000516690963444114
"198","whitesupremacy",0.000514640602478066
"199","india",0.000512590241512018
"200","TamilNadu",0.000508489519579922
"201","StayHomeStaySafe",0.000504388797647826
"202","Bigil",0.000502338436681778
"203","Mersal",0.000502338436681778
"204","Sarkar",0.000502338436681778
"205","beach",0.000496187353783634
"206","wheat",0.000494136992817586
"207","StayHomeSaveLiv",0.000492086631851537
"208","IndiaSalutesWarriors",0.000483885187987345
"209","Vietnam",0.000479784466055249
"210","Christian",0.000477734105089201
"211","Coro",0.000475683744123153
"212","FiveEyes",0.000475683744123153
"213","vaccines",0.000471583022191057
"214","PTI",0.000467482300258961
"215","Europe",0.000465431939292913
"216","news",0.000465431939292913
"217","petrolprice",0.000465431939292913
"218","GivingTuesdayNow",0.000463381578326864
"219","LOCKDOWN2020",0.000461331217360816
"220","Health",0.00045723049542872
"221","Insiders",0.00045723049542872
"222","IoT",0.00045723049542872
"223","BillBarr",0.000453129773496624
"224","TestTraceIsolate",0.000453129773496624
"225","Vaccine",0.00044697869059848
"226","USNavy",0.000444928329632432
"227","ICYMI",0.000440827607700336
"228","Lockdown3",0.00043672688576824
"229","Hydroxychloroquine",0.000434676524802191
"230","IAmGettingSoTiredOf",0.000430575802870095
"231","France",0.000428525441904047
"232","masks",0.000428525441904047
"233","LabourDay2020",0.000426475080937999
"234","SouthAfrica",0.000426475080937999
"235","TrumpIsNotADoctor",0.000426475080937999
"236","Rajasthan",0.000424424719971951
"237","banned",0.000422374359005903
"238","Biden2020",0.000422374359005903
"239","BorisJohnson",0.000420323998039855
"240","IransAngels",0.000418273637073807
"241","SerieA",0.000418273637073807
"242","cybersecurity",0.000416223276107759
"243","Gujarat",0.000414172915141711
"244","HealthcareHeroes",0.000414172915141711
"245","SouthChinaSea",0.000414172915141711
"246","Update",0.000412122554175663
"247","Shivajinagar",0.000410072193209615
"248","Sexy",0.00040392111031147
"249","IndianArmedForces",0.000401870749345422
"250","Cuba",0.000397770027413326
"251","BootCamp",0.000395719666447278
"252","Delhi",0.000395719666447278
"253","DidYouKnow",0.000395719666447278
"254","PoliceForce",0.000395719666447278
"255","Kerala",0.00039366930548123
"256","Startups",0.00039366930548123
"257","DonaldTrump",0.000391618944515182
"258","mask",0.000391618944515182
"259","SriLanka",0.000391618944515182
"260","Healthcareheroes",0.000389568583549134
"261","MorrisonFires",0.000389568583549134
"262","SanitationWorkers",0.000387518222583086
"263","5G",0.000385467861617038
"264","Afghanistan",0.000385467861617038
"265","Masks4All",0.000385467861617038
"266","IRunwithAhmaud",0.00038341750065099
"267","Pune",0.00038341750065099
"268","StayH",0.000381367139684942
"269","Flu",0.000379316778718893
"270","Ecoin",0.000377266417752845
"271","HealthcareHeroesDay",0.000377266417752845
"272","Worl",0.000375216056786797
"273","ChinaLiedPeopleDied",0.000373165695820749
"274","Texas",0.000371115334854701
"275","Syria",0.000369064973888653
"276","day37oflockdown",0.000367014612922605
"277","Kenya",0.000367014612922605
"278","Sassuolo",0.000367014612922605
"279","BuhariDoppelgaenger",0.000362913890990509
"280","KAG2020",0.000362913890990509
"281","atlanta",0.000360863530024461
"282","Belgium",0.000360863530024461
"283","WuhanVirus",0.000360863530024461
"284","business",0.000358813169058413
"285","Hydroxycloroquine",0.000358813169058413
"286","publichealth",0.000356762808092365
"287","USArmy",0.000356762808092365
"288","CCPChina",0.000354712447126317
"289","ChinaVirus",0.000354712447126317
"290","Lagos",0.000352662086160269
"291","Atlanta",0.00035061172519422
"292","RT",0.00035061172519422
"293","lockdownIndia",0.000348561364228172
"294","Comey",0.000346511003262124
"295","Liechtenstein",0.000344460642296076
"296","Maldives",0.000344460642296076
"297","CoMorbidity",0.000342410281330028
"298","QuarantineLife",0.000342410281330028
"299","VersovaVidhansabha",0.000342410281330028
