"","hashtagstest","Freq"
"1","lockdown",0.0119029690520565
"2","ー19",0.0111214185701097
"3","Virus",0.00999891948966321
"4","BREAKING",0.00882491421699671
"5","China",0.00758764590388609
"6","CO",0.00667453069181214
"7","IndiaFights",0.00525923010559329
"8","WATCH",0.00490148600963054
"9","smoking",0.00454430176358322
"10","cardiovascular",0.00449111602161693
"11","C",0.00445584547694454
"12","StayHome",0.00433323834546435
"13","Trump",0.00426549650569675
"14","India",0.00420615241466068
"15","WorldPressFreedomDay",0.0037946627268162
"16","Iran",0.00373083983645664
"17","Wuhan",0.00370564659026208
"18","pandemic",0.00357856065945841
"19","CDC",0.00328407960393978
"20","Taiwan",0.00299295764791375
"21","Warriors",0.00294649010493267
"22","MayThe4th",0.00278637302911835
"23","SARSCoV2",0.00271415239002728
"24","Lockdown",0.00257474976108405
"25","GivingTuesdayNow",0.00246557902757429
"26","COVI",0.00241295313552343
"27","1",0.00227299065666476
"28","Pandemic",0.00220972761622064
"29","SocialDistancing",0.00217501692146369
"30","vi",0.00215654187425435
"31","WHO",0.00209663793330284
"32","Pakistan",0.00204569159099829
"33","Chinas",0.00203169534311242
"34","US",0.00198354825038504
"35","LiquorShops",0.00188893361467658
"36","CCP",0.00179431897896812
"37","UK",0.00179431897896812
"38","Ramadan",0.00176408708353465
"39","NHS",0.00172769683903139
"40","HongKong",0.00169466569402075
"41","Nigeria",0.00162580415442228
"42","HandHygiene",0.00161404730619815
"43","USA",0.0016034101578049
"44","StayAtHome",0.00158325556084925
"45","COV",0.0015502244158386
"46","N95",0.00150263717302666
"47","FakeNews",0.00140242403816385
"48","c",0.00136211484425255
"49","Spygate",0.00129045405507691
"50","TaiwanModel",0.00121823341598584
"51","vaccine",0.00121487431649323
"52","AarogyaSetu",0.00120871596742345
"53","PPE",0.00119192046996041
"54","AI",0.0011868818207215
"55","Remdesivir",0.00115329082579542
"56","HumanFraternity",0.00113929457790955
"57","IOTS",0.00112361878027738
"58","Syria",0.00112193923053108
"59","v",0.00111242178196869
"60","PressFreedom",0.00108778838568956
"61","Pakistans",0.00106427468924131
"62","StaySafe",0.00106147543966413
"63","LOCKDOWN2020",0.00105587694050979
"64","BorisJohnson",0.00105027844135544
"65","AbhijitBanerjee",0.00104691934186283
"66","Turkey",0.00104691934186283
"67","cor",0.0010463594919474
"68","mentalhealth",0.00103740189330044
"69","socialdistancing",0.00103516249363871
"70","Madagascar",0.00103124354423066
"71","health",0.00103012384439979
"72","s",0.00100772984778241
"73","stayhome",0.000999332099050887
"74","Italy",0.000996532849473713
"75","BuzdarPlus",0.000993173749981105
"76","coron",0.000988135100742193
"77","Cons",0.00098533585116502
"78","Irans",0.000981416901756977
"79","FiveEyes",0.000971899453194588
"80","LetsStaySafe",0.000937748608353073
"81","staysafe",0.000937188758437638
"82","LongTermCare",0.000929350859621553
"83","Chinese",0.000920953110890033
"84","VirusUpdates",0.000913115212073947
"85","Kano",0.000903037913596123
"86","Chennai",0.000876165117655259
"87","Vijay",0.00087504541782439
"88","IndiaSalutesWarriors",0.000873365868078086
"89","StayHomeSaveLives",0.000869446918670043
"90","vir",0.000868327218839174
"91","Outbreak",0.000859369620192219
"92","Yemen",0.000853211271122438
"93","NYC",0.000844813522390917
"94","Russia",0.000844813522390917
"95","Assange",0.000835855923743963
"96","healthcare",0.000834736223913093
"97","Georgia",0.000817940726450053
"98","Covid",0.00079834597940984
"99","covid",0.000793307330170928
"100","Tcot",0.00078994823067832
"101","Thalapathy",0.000789388380762885
"102","Fauci",0.000786589131185712
"103","LateLateShow",0.000786029281270277
"104","HCQ",0.000784349731523973
"105","viru",0.000779311082285061
"106","BillGates",0.000777631532538757
"107","co",0.000775392132877018
"108","Roadmap",0.000768673933891802
"109","Marr",0.000766994384145498
"110","Vietnam",0.000765874684314629
"111","WPFD2020",0.000758596635413978
"112","Africa",0.000757476935583109
"113","Aleppo",0.000756917085667674
"114","Canada",0.000750758736597893
"115","economy",0.000749639036767024
"116","NanbarAjith",0.000735082938965722
"117","Nellai",0.000734523089050287
"118","TamilNadu",0.000728364739980506
"119","Co",0.000713808642179205
"120","auspol",0.000708769992940293
"121","Kerala",0.000707090443193989
"122","GlobalResponse",0.00070485104353225
"123","Beijing",0.000698132844547034
"124","Spain",0.000694773745054426
"125","Europe",0.000694213895138991
"126","MayThe4thBeWithYou",0.000694213895138991
"127","quarantine",0.000690854795646383
"128","Lagos",0.00067965779733769
"129","vaccines",0.000676858547760516
"130","RT",0.000672939598352474
"131","Germany",0.000667900949113562
"132","Odisha",0.000667341099198127
"133","DeepState",0.000657823650635738
"134","EU",0.000657263800720303
"135","coro",0.000656144100889434
"136","2019",0.000651105451650521
"137","uk",0.000648866051988783
"138","BSF",0.00064494710258074
"139","SmartNews",0.000642147853003567
