"","hashtags4","Freq"
"1","lockdown",0.00839197047667662
"2","CO",0.00790716077364394
"3","BREAKING",0.0066078219221911
"4","smoking",0.00636847002850241
"5","cardiovascular",0.00633183453457047
"6","MayThe4th",0.00534267619840807
"7","Virus",0.00518025884197646
"8","China",0.00516438346127262
"9","IndiaFights",0.00432054591770691
"10","LiquorShops",0.00366110702693197
"11","C",0.0034974684873693
"12","StayHome",0.00318484560581674
"13","pandemic",0.00245579927657111
"14","Trump",0.00241061550072172
"15","Iran",0.00224331341176586
"16","HumanFraternity",0.00214195521188749
"17","TaiwanModel",0.00194290236152394
"18","Wuhan",0.00185741954234941
"19","Spygate",0.00185253480982515
"20","Pandemic",0.00174262832802933
"21","SocialDistancing",0.00173408004611187
"22","LetsStaySafe",0.00170477165096632
"23","SARSCoV2",0.00168767508713142
"24","1",0.00167546325582077
"25","India",0.0015741050559424
"26","StayAtHome",0.00148373750424361
"27","Lockdown",0.00142756308021464
"28","IOTS",0.00141779361516612
"29","Pakistans",0.00140069705133121
"30","COVI",0.00133231079599159
"31","MayThe4thBeWithYou",0.00129445411892858
"32","WorldPressFreedomDay",0.00129323293579752
"33","GivingTuesdayNow",0.00128712702014219
"34","CDC",0.00128224228761794
"35","Assange",0.00124316442742387
"36","Chinas",0.00123339496237535
"37","WHO",0.00119431710218128
"38","Syria",0.00118454763713276
"39","FiveEyes",0.00112470966371059
"40","NHS",0.00110272836735142
"41","Politico",0.00109906481795823
"42","GlobalResponse",0.0010966224516961
"43","WATCH",0.00108807416977865
"44","26millionunemployed",0.00105388104210884
"45","Chennai",0.00104289039392925
"46","HCQ",0.00103189974574967
"47","Massachusetts",0.00103189974574967
"48","Pakistan",0.00101480318191477
"49","US",0.00100503371686625
"50","AarogyaSetu",0.000994043068686666
"51","Aleppo",0.000992821885555602
"52","mentalhealth",0.00097938887111389
"53","Taiwan",0.000969619406065372
"54","TeacherAppreciationWeek",0.000963513490410049
"55","USA",0.00096107112414792
"56","Ramadan",0.00095862875788579
"57","Serbia",0.000946416926575143
"58","N95",0.000931762729002367
"59","c",0.000925656813347043
"60","socialdistancing",0.000913444982036396
"61","UK",0.000874367121842326
"62","vaccine",0.000873145938711261
"63","CCP",0.000862155290531679
"64","Warriors",0.000851164642352096
"65","Italy",0.000848722276089967
"66","SARS",0.000841395177303579
"67","COV",0.000825519796599738
"68","MondayMotivation",0.00081819269781335
"69","Outbreak",0.000799874950847379
"70","LOCKDOWN2020",0.000798653767716314
"71","TamilNadu",0.000787663119536732
"72","HongKong",0.000785220753274603
"73","MentalHealthWeek",0.000779114837619279
"74","Nigeria",0.00077667247135715
"75","PressFreedom",0.000775451288226085
"76","AI",0.000773008921963956
"77","StarWarsDay",0.000748585259342662
"78","PPE",0.000741258160556273
"79","Russian",0.00073270987863882
"80","staysafe",0.000720498047328173
"81","Syri",0.000716834497934979
"82","Kerala",0.000698516750969009
"83","MoscowMitch",0.000686304919658362
"84","StaySafe",0.000669208355823456
"85","Chinese",0.000661881257037068
"86","health",0.000659438890774938
"87","DPTalks",0.000648448242595356
"88","uk",0.000641121143808968
"89","healthcare",0.000626466946236192
"90","VirusUpdates",0.000620361030580868
"91","helfer",0.000606928016139156
"92","rol",0.000606928016139156
"93","vir",0.000605706833008092
"94","vi",0.000588610269173186
"95","MAGA",0.000578840804124668
"96","Africa",0.000575177254731474
"97","SmartNews",0.000573956071600409
"98","Fauci",0.000567850155945086
"99","FoxNews",0.000566628972814021
"100","v",0.000565407789682956
"101","StayHomeSaveLives",0.000561744240289762
"102","UnitedAgainst",0.000555638324634439
"103","quarantine",0.00055075359211018
"104","prisonerspeopletoo",0.000539762943930598
"105","BritishIndians",0.000534878211406339
"106","Govern",0.00053243584514421
"107","France",0.00052999347888208
"108","Russia",0.000528772295751015
"109","stayhome",0.000528772295751015
"110","B",0.000526329929488886
"111","s",0.000520224013833563
"112","RT",0.000519002830702498
"113","flattenthecurve",0.000516560464440368
"114","mask",0.000501906266867592
"115","lockd",0.000499463900605463
"116","nigeriavsghana",0.000499463900605463
"117","ChineseCommunistParty",0.000498242717474398
"118","co",0.000498242717474398
"119","Germany",0.00049091561868801
"120","Irans",0.00049091561868801
"121","Ohios",0.000482367336770557
"122","ChineseVirus",0.000476261421115233
"123","Plandemic",0.000473819054853104
"124","Aadhaar",0.000468934322328845
"125","Hydroxychloroquine",0.00046771313919778
"126","SoniaGandhi",0.000466491956066716
"127","t",0.000461607223542457
"128","IForIndia",0.000459164857280327
"129","Poor",0.000457943674149263
"130","EU",0.000451837758493939
"131","SidNaaz",0.000451837758493939
